Wall time,Step,Value
1702413033.6201532,171,0.0
1702413038.2058282,857,0.0
1702413039.407658,1038,0.0
1702413048.90303,2423,0.0
1702413054.833981,3220,0.0
1702413070.646801,5315,0.0
1702413101.24135,9209,0.0
1702413111.413492,10605,0.012500000186264515
1702413120.369694,11770,0.011111111380159855
1702413127.8125172,12719,0.009999999776482582
1702413146.503008,15075,0.009999999776482582
1702413166.704501,17647,0.009999999776482582
1702413185.105946,20052,0.019999999552965164
1702413201.090087,22073,0.019999999552965164
1702413222.0459871,24776,0.019999999552965164
1702413233.7610712,26284,0.019999999552965164
1702413249.482959,28370,0.019999999552965164
1702413262.201546,30094,0.009999999776482582
1702413278.720654,32300,0.009999999776482582
1702413289.4662862,33762,0.009999999776482582
1702413298.991055,35069,0.009999999776482582
1702413311.050882,36631,0.009999999776482582
1702413328.280101,38914,0.0
1702413341.852062,40688,0.0
1702413357.7191622,42776,0.0
1702413363.364355,43548,0.0
1702413380.511148,46032,0.0
1702413392.309678,47665,0.0
1702413415.495873,50888,0.0
1702413429.3269298,52791,0.0
1702413449.176926,55493,0.0
1702413475.256591,58960,0.0
1702413489.154378,60837,0.0
1702413513.25136,64170,0.0
1702413526.04768,65877,0.0
1702413540.66373,67857,0.0
1702413558.304236,70235,0.0
1702413576.309628,72683,0.0
1702413594.4756658,75171,0.0
1702413622.086509,78993,0.0
1702413638.539924,81261,0.0
1702413655.819724,83598,0.0
1702413671.418143,85749,0.0
1702413684.633662,87586,0.0
1702413706.405025,90641,0.0
1702413725.7458959,93322,0.019999999552965164
1702413742.60028,95680,0.019999999552965164
1702413763.0713239,98689,0.019999999552965164
1702413785.8058681,101983,0.019999999552965164
1702413808.5803661,105349,0.029999999329447746
1702413824.939764,107751,0.03999999910593033
1702413842.241102,110269,0.03999999910593033
1702413858.97474,112608,0.03999999910593033
1702413870.238228,114067,0.03999999910593033
1702413889.839684,116755,0.03999999910593033
1702413906.04019,118946,0.019999999552965164
1702413928.255889,121871,0.019999999552965164
1702413949.768785,124695,0.019999999552965164
1702413968.098942,127101,0.029999999329447746
1702413995.4415538,130686,0.019999999552965164
1702414017.635967,133636,0.009999999776482582
1702414034.639292,135808,0.009999999776482582
1702414049.566299,137812,0.009999999776482582
1702414065.497559,139891,0.009999999776482582
1702414081.69577,142016,0.009999999776482582
1702414106.040579,145246,0.009999999776482582
1702414127.187388,148090,0.009999999776482582
1702414145.792076,150485,0.019999999552965164
1702414163.902178,152859,0.009999999776482582
1702414185.835598,155808,0.009999999776482582
1702414205.273567,158398,0.019999999552965164
1702414221.169887,160522,0.019999999552965164
1702414242.7822442,163423,0.029999999329447746
1702414263.860409,166308,0.029999999329447746
1702414288.808244,169691,0.029999999329447746
1702414303.477665,171684,0.03999999910593033
1702414315.198244,173262,0.05000000074505806
1702414328.125254,175022,0.03999999910593033
1702414352.1752021,178259,0.03999999910593033
1702414365.9306219,180108,0.03999999910593033
1702414384.954656,182425,0.029999999329447746
1702414392.814285,183465,0.029999999329447746
1702414415.946632,186910,0.019999999552965164
1702414437.225784,190283,0.019999999552965164
1702414447.981369,191943,0.029999999329447746
1702414456.4178638,193288,0.03999999910593033
1702414463.673599,194436,0.029999999329447746
1702414476.941761,196604,0.029999999329447746
1702414486.7861278,198202,0.03999999910593033
1702414502.620775,200783,0.05999999865889549
1702414513.8140428,202619,0.07000000029802322
1702414524.393172,204342,0.07000000029802322
1702414539.6222851,206852,0.07000000029802322
1702414548.3319838,208312,0.07000000029802322
1702414568.197533,211666,0.07999999821186066
1702414583.117104,214163,0.05999999865889549
1702414593.53969,215912,0.07000000029802322
1702414610.997484,218846,0.09000000357627869
1702414622.880026,220769,0.10999999940395355
1702414633.820255,222469,0.10000000149011612
1702414642.364512,223875,0.10000000149011612
1702414655.691247,226037,0.11999999731779099
1702414668.809154,228034,0.12999999523162842
1702414686.682813,230888,0.12999999523162842
1702414693.072136,231972,0.10999999940395355
1702414709.9976819,234647,0.10999999940395355
1702414725.633566,237123,0.10000000149011612
1702414742.755748,239787,0.10000000149011612
1702414753.469314,241503,0.07000000029802322
1702414766.797837,243690,0.05999999865889549
1702414780.12813,245865,0.05999999865889549
1702414796.452479,248498,0.07000000029802322
1702414817.081161,251774,0.07000000029802322
1702414833.882519,254432,0.11999999731779099
1702414856.528329,258010,0.12999999523162842
1702414880.336663,261665,0.14000000059604645
1702414903.537015,265276,0.1599999964237213
1702414930.937866,269264,0.1599999964237213
1702414952.508242,272495,0.1899999976158142
1702414970.1441762,275123,0.20999999344348907
1702414984.641568,277313,0.23999999463558197
1702415007.560232,280784,0.23999999463558197
1702415027.146098,283726,0.27000001072883606
1702415043.2114758,286183,0.23999999463558197
1702415062.031008,289024,0.2800000011920929
1702415086.553662,292545,0.30000001192092896
1702415107.482324,295605,0.28999999165534973
1702415126.501376,298360,0.28999999165534973
1702415148.3033779,301565,0.28999999165534973
1702415172.392464,305166,0.30000001192092896
1702415191.679412,308162,0.30000001192092896
1702415212.83168,311416,0.3100000023841858
1702415232.180917,314375,0.3100000023841858
1702415248.883302,316915,0.3499999940395355
1702415263.4017549,319169,0.3199999928474426
1702415284.755308,322506,0.3100000023841858
1702415301.36554,325065,0.3199999928474426
1702415317.838933,327573,0.33000001311302185
1702415333.836946,330055,0.3400000035762787
1702415351.958936,332818,0.3499999940395355
1702415372.440802,336079,0.3199999928474426
1702415393.344321,339326,0.3100000023841858
1702415412.4338508,342340,0.30000001192092896
1702415429.0410721,344952,0.28999999165534973
1702415448.599618,348146,0.3100000023841858
1702415468.2583628,351274,0.3400000035762787
1702415488.849984,354549,0.3499999940395355
1702415504.864903,357126,0.36000001430511475
1702415526.186263,360503,0.3499999940395355
1702415538.4879591,362494,0.3400000035762787
1702415554.307613,365019,0.3700000047683716
1702415578.350301,368917,0.3700000047683716
1702415597.9085078,372029,0.3799999952316284
1702415616.637322,374979,0.3799999952316284
1702415633.1958861,377649,0.4000000059604645
1702415653.881424,380946,0.38999998569488525
1702415671.306866,383753,0.4000000059604645
1702415685.3721359,385993,0.4099999964237213
1702415708.1874769,389586,0.4399999976158142
1702415722.166898,391719,0.49000000953674316
1702415738.453075,394275,0.5099999904632568
1702415755.991622,397062,0.5299999713897705
1702415772.794039,399672,0.5400000214576721
1702415795.642952,403214,0.5099999904632568
1702415808.77897,405258,0.5299999713897705
1702415832.536735,408969,0.5199999809265137
1702415845.0521321,410973,0.5400000214576721
1702415947.098488,413727,0.5400000214576721
1702415956.332074,415175,0.5600000023841858
1702415970.1918762,417331,0.5299999713897705
1702415985.292436,419629,0.5600000023841858
1702416000.3974001,421938,0.5799999833106995
1702416020.580878,425085,0.5899999737739563
1702416032.280977,426846,0.6499999761581421
