Wall time,Step,Value
1702261491.1295009,24780,0.0
1702261745.145233,61614,0.0
1702261765.439923,64645,0.0
1702261844.8585038,76492,0.0
1702262095.668598,113733,0.05999999865889549
1702262141.8191779,120553,0.05000000074505806
1702265067.6790988,175326,0.25999999046325684
1702271618.267082,292860,0.9700000286102295
1702271635.303366,295483,0.9599999785423279
1702271696.7051258,304749,0.9300000071525574
1702271971.493183,346764,0.9399999976158142
1702271991.537088,349798,0.9300000071525574
1702272080.8151948,363589,0.9300000071525574
1702272104.893429,367311,0.9599999785423279
1702272138.243876,372405,0.949999988079071
1702272157.44811,375343,0.9599999785423279
1702272294.776758,396296,1.0
1702272302.178049,397430,1.0
1702272326.475622,401079,1.0
1702272421.617368,415401,1.0
1702272484.975577,424976,1.0
1702272640.2694578,448285,1.0
1702272642.547127,448630,1.0
1702272697.962398,456981,0.9900000095367432
1702272747.609681,464439,1.0
1702272782.7489831,469685,1.0
1702272949.2296839,494693,0.9900000095367432
1702273016.803849,504886,0.9800000190734863
1702273057.746658,511034,0.9900000095367432
1702273073.574064,513437,1.0
1702273075.913436,513793,1.0
1702273156.2789829,525851,1.0
1702273190.153224,531051,0.9700000286102295
1702273209.278094,533889,1.0
1702273222.1671412,535847,1.0
1702273228.596415,536827,1.0
1702273259.124376,541374,1.0
1702273284.261333,545188,1.0
1702273389.2235,560847,0.9800000190734863
1702273406.098424,563399,0.9900000095367432
1702273424.540342,566193,0.9900000095367432
1702273486.366983,575386,1.0
1702273505.309952,578225,1.0
1702273513.26269,579428,1.0
1702273517.74076,580105,1.0
1702273548.3349729,584649,0.9900000095367432
1702273552.2826428,585245,0.9900000095367432
1702273568.75947,587737,0.9900000095367432
1702273587.0688372,590432,1.0
1702273600.163748,592406,1.0
1702273662.4345732,601794,1.0
1702273823.301763,626054,0.9900000095367432
1702273894.612928,636785,1.0
1702273900.940157,637746,1.0
1702273937.5021,643329,0.9900000095367432
1702273957.577653,646312,1.0
1702273960.399425,646740,1.0
1702273973.7164779,648771,1.0
1702273975.688472,649072,1.0
1702273987.011355,650799,1.0
1702274025.293958,656537,1.0
1702274031.455491,657470,1.0
1702274052.1494799,660504,1.0
1702274159.380789,676539,1.0
1702274165.1169658,677401,1.0
1702274177.6552901,679291,1.0
1702274191.073441,681244,1.0
1702274223.003341,686073,0.9900000095367432
1702274236.776684,688069,0.9900000095367432
1702274245.899092,689447,1.0
1702274355.390338,705862,1.0
1702274365.393651,707378,1.0
1702274367.860173,707681,1.0
1702274406.0520499,713461,1.0
1702274432.877652,717438,1.0
1702274458.899509,721369,1.0
1702274535.102037,732757,1.0
1702274569.716846,737944,1.0
1702274609.34214,743900,1.0
1702274678.350948,754317,0.9900000095367432
1702274684.332757,755225,0.9900000095367432
1702274711.121897,759211,1.0
1702274718.5660548,760344,1.0
1702274810.198244,774092,1.0
1702274823.588159,776123,1.0
1702274866.0946088,782507,1.0
1702274889.720979,786019,1.0
1702274908.502344,788869,1.0
1702274969.4771378,798022,1.0
1702274990.771148,801147,1.0
1702275005.122113,803311,1.0
1702275016.47386,805021,1.0
1702275077.081048,814066,1.0
1702275084.855149,815156,1.0
1702275132.9558342,822306,1.0
1702275163.0679822,826844,0.9900000095367432
1702275193.532566,831353,0.9800000190734863
1702275200.797081,832446,0.9800000190734863
1702275233.367612,837276,1.0
1702275299.526468,847158,1.0
1702275315.1363358,849436,1.0
1702275380.957458,859312,0.9900000095367432
1702275398.07389,861894,0.9900000095367432
1702275410.115407,863632,1.0
1702275419.7376409,865086,1.0
1702275432.1024718,866957,1.0
1702275449.3194802,869565,1.0
1702275474.9311109,873362,1.0
1702275478.867597,873959,1.0
1702275484.728192,874846,1.0
1702275501.112913,877326,1.0
1702275565.158477,886855,1.0
1702275609.4342349,893491,1.0
1702275647.484477,899186,1.0
1702275680.544926,904206,0.9900000095367432
1702275697.3044841,906683,0.9900000095367432
1702275720.538623,910211,0.9900000095367432
1702275725.97927,911039,0.9900000095367432
1702275740.318035,913221,1.0
1702275813.019764,924099,0.9900000095367432
1702275843.11345,928660,1.0
1702275861.512615,931380,1.0
1702275866.743936,932168,0.9900000095367432
1702275902.6687858,937493,1.0
1702275931.457328,941828,1.0
1702275964.131856,946682,1.0
1702275985.330776,949869,0.9900000095367432
1702276016.654911,954524,1.0
1702276027.576299,956168,1.0
1702276073.025942,962935,1.0
1702276096.346432,966363,1.0
1702276101.519845,967138,1.0
1702276103.617712,967455,1.0
1702276117.711784,969580,1.0
1702276124.7581189,970638,1.0
1702276137.965538,972550,1.0
1702276224.625299,985509,1.0
1702276232.4950771,986619,1.0
1702276243.9841971,988344,1.0
1702276260.0557299,990762,1.0
1702276299.232306,996574,1.0
1702276306.411202,997650,1.0
1702276320.5070028,999791,1.0
1702276334.839381,1001882,1.0
1702276341.7034528,1002927,1.0
1702276378.702108,1008465,1.0
1702276388.004812,1009879,1.0
1702276389.95621,1010176,1.0
1702276398.519511,1011477,1.0
1702276420.033555,1014664,1.0
1702276425.458602,1015485,1.0
1702276433.6789849,1016733,1.0
1702276467.6021812,1021809,1.0
1702276495.3061619,1026007,0.9900000095367432
1702276513.427543,1028677,1.0
1702276533.817455,1031764,1.0
1702276580.304681,1038718,1.0
1702276596.276219,1041138,1.0
1702276658.651731,1050437,1.0
1702276660.5179908,1050719,1.0
1702276663.98102,1051181,1.0
1702276758.133112,1062564,1.0
1702276770.7058601,1064601,1.0
1702276785.019199,1066918,1.0
1702276788.3355038,1067456,1.0
1702276797.0094469,1068777,1.0
1702276836.397412,1075161,1.0
1702276838.116409,1075437,1.0
1702276854.6719968,1078034,1.0
1702276857.881261,1078555,1.0
1702276865.6841831,1079818,1.0
1702276888.2728598,1083486,1.0
1702276897.920023,1084963,1.0
1702276912.505067,1087328,1.0
1702276935.6984022,1091082,1.0
1702276945.645003,1092601,1.0
1702277019.100162,1104301,1.0
1702277028.807053,1105856,1.0
1702277056.9624739,1110293,1.0
1702277067.0874822,1111797,1.0
1702277180.265752,1126161,1.0
1702277188.362444,1127472,1.0
1702277208.686101,1130762,1.0
1702277265.359125,1139825,1.0
1702277287.052387,1143332,1.0
1702277342.314142,1152162,1.0
1702277473.908675,1173087,1.0
1702277488.195311,1175295,1.0
1702277502.949922,1177661,1.0
1702277511.856867,1179087,1.0
1702277549.753891,1185088,1.0
1702277624.383658,1196895,1.0
1702277636.612384,1198854,1.0
1702277693.107383,1207832,1.0
1702277719.7391129,1212014,1.0
1702277724.06403,1212707,1.0
1702277736.067737,1214632,1.0
1702277740.901393,1215409,1.0
1702277784.64202,1221386,1.0
1702277797.423519,1222457,1.0
1702277852.602489,1229937,1.0
1702277931.8118541,1239229,1.0
1702277958.7840261,1243495,1.0
1702277968.345671,1245039,1.0
1702277993.379989,1249078,1.0
1702278021.166705,1253476,1.0
1702278022.4342232,1253680,1.0
1702278075.834132,1262199,1.0
1702278091.008351,1264646,0.9900000095367432
1702278096.0456588,1265388,0.9900000095367432
1702278097.657259,1265646,1.0
1702278100.69219,1266136,1.0
1702278102.4853601,1266425,1.0
1702278139.5389519,1272388,0.9900000095367432
1702278192.165984,1280705,1.0
1702278253.6787531,1290489,1.0
1702278300.527501,1297935,0.9800000190734863
1702278342.105087,1304536,0.9900000095367432
1702278349.469362,1305720,1.0
1702278382.6392262,1310960,1.0
1702278411.718636,1315638,1.0
1702278434.6685581,1319295,0.9900000095367432
1702278459.057021,1323287,1.0
1702278502.819081,1330383,1.0
1702278507.261364,1331109,1.0
1702278545.152832,1337159,1.0
1702278584.0482812,1343384,1.0
1702278609.950973,1347583,1.0
1702278658.2116082,1352482,1.0
1702278689.232716,1356895,1.0
1702278692.510302,1357424,1.0
1702278695.5554078,1357915,1.0
1702278704.7769668,1359403,1.0
1702278747.18344,1366145,1.0
1702278768.65755,1369518,0.9900000095367432
1702278853.372363,1382989,1.0
1702278859.4625769,1383968,1.0
1702278875.512613,1386549,1.0
1702278922.3877492,1393988,1.0
1702278934.7195678,1395974,1.0
1702278955.3783948,1399207,1.0
1702278963.157092,1400459,1.0
1702278986.188116,1404160,0.9900000095367432
1702278994.229574,1405368,0.9900000095367432
1702278997.200653,1405845,1.0
1702279012.467616,1408296,1.0
1702279018.677543,1409295,1.0
1702279077.240278,1416295,0.9900000095367432
1702279101.853398,1419205,1.0
1702279181.401866,1431853,1.0
1702279197.244504,1434404,1.0
1702279221.874868,1438373,1.0
1702279262.824182,1444950,1.0
1702279301.01315,1451086,1.0
1702279318.805328,1453989,1.0
1702279340.9280908,1456659,1.0
1702279349.9601762,1457421,1.0
1702279447.1365519,1470964,0.9800000190734863
1702279454.4375381,1472154,0.9800000190734863
1702279456.0316281,1472414,0.9800000190734863
1702279470.819082,1474817,1.0
1702279579.250853,1492219,1.0
1702279595.460981,1494855,1.0
1702279596.649368,1495048,1.0
1702279599.438751,1495500,1.0
1702279606.4809659,1496646,1.0
1702279608.088525,1496908,1.0
1702279645.1376798,1502887,1.0
1702279652.281579,1504057,1.0
1702279656.784661,1504796,1.0
1702279667.762157,1506598,1.0
1702279711.820512,1511398,1.0
1702279719.6864152,1512065,1.0
1702279722.958817,1512306,1.0
1702279745.7410848,1515788,1.0
1702279779.9739149,1520990,1.0
1702279812.255139,1524126,1.0
1702279815.4509492,1524647,1.0
1702279835.174359,1527744,1.0
1702279889.418818,1536412,1.0
1702279925.0700428,1542045,1.0
1702279935.095797,1543657,1.0
1702279944.086117,1545102,1.0
1702279979.298481,1550695,1.0
1702279983.961379,1551444,1.0
1702280072.0046568,1565395,1.0
1702280098.1822011,1569586,1.0
1702280130.167008,1574602,1.0
1702280134.334837,1575269,1.0
1702280202.334389,1585979,1.0
1702280206.843269,1586700,1.0
1702280230.1189299,1590426,0.9900000095367432
1702280276.031353,1597678,0.9900000095367432
1702280318.571799,1604402,1.0
1702280330.569524,1606317,1.0
1702280336.502192,1607267,1.0
1702280350.584074,1609091,1.0
1702280382.003469,1611711,1.0
1702280423.320829,1617650,1.0
1702280430.69038,1618774,1.0
1702280455.003396,1622540,1.0
1702280477.807402,1626177,1.0
1702280489.893197,1628024,1.0
1702280502.722183,1630076,1.0
1702280515.77706,1632163,1.0
1702280532.350891,1634730,1.0
1702280533.916071,1634981,1.0
1702280551.4994922,1637792,1.0
1702280554.3099751,1638243,1.0
1702280612.112044,1647407,0.9900000095367432
1702280630.685909,1650291,1.0
1702280658.2150269,1654707,1.0
1702280692.319249,1660082,1.0
1702280722.367449,1664809,1.0
1702280816.993251,1676148,1.0
1702280829.7489579,1678228,1.0
1702280833.830153,1678895,1.0
1702280909.0623171,1691011,1.0
1702280913.1418629,1691676,1.0
1702280940.970094,1696213,1.0
1702280943.921605,1696694,1.0
1702280945.509851,1696954,1.0
1702280956.317866,1698644,1.0
1702280982.180945,1702831,1.0
1702281021.6277518,1709249,1.0
1702281050.5631092,1713806,1.0
1702281062.2188401,1715655,1.0
1702281107.08437,1722852,1.0
1702281132.182795,1726791,1.0
1702281157.442107,1730844,1.0
1702281169.791959,1732748,1.0
1702281215.244771,1739951,1.0
1702281255.504603,1746390,1.0
1702281289.072056,1751686,1.0
1702281331.288407,1758362,1.0
1702281346.500642,1760801,1.0
1702281369.656009,1764420,1.0
1702281390.137237,1767700,1.0
1702281420.433613,1772483,1.0
1702281479.5217621,1781937,1.0
