id,success,corridor_width,trajectory_efficiency,init_distance
0,True,7.039463699334612,1.0005019155642152,5.0
1,True,12.611807054128768,2.6950420045216927,5.0
2,True,8.136528352380298,1.0192074278740333,5.0
3,True,7.851886688000332,1.930496550481935,5.0
4,True,8.558495659752433,2.0616972799229187,5.0
5,True,4.8752903186446925,1.009395934105209,5.0
6,True,9.603391086804914,1.525051237776375,5.0
7,True,9.205263418521126,2.5733395387326845,5.0
8,True,6.073591786643374,1.046761865130594,5.0
9,True,7.823230599529779,1.7092784312652713,5.0
10,True,7.013154472513812,1.2167389108862727,5.0
11,True,7.709231007390903,1.1615269878435737,5.0
12,True,7.690422548887727,1.0839377966436952,5.0
13,True,8.519293434118424,1.2587922945063237,5.0
14,True,7.4915106035010695,1.006066087316821,5.0
15,True,7.501193722241779,1.2643362316187345,5.0
16,True,5.063717135757952,1.200504496089649,5.0
17,True,10.115176705717428,1.5565378302168578,5.0
18,True,9.050100377365212,1.4635210003825605,5.0
19,True,9.6032113812179,1.8118516604922072,5.0
20,True,7.185790869532516,1.0013421135924483,5.0
21,True,18.66224934350973,4.534716313356793,5.0
22,True,7.069809976138834,1.0954304886949067,5.0
23,True,7.663131765642902,1.1481448292086718,5.0
24,True,7.184858117460843,1.0154823442720766,5.0
25,True,9.138201639776259,1.5291301927918466,5.0
26,True,11.443492850091616,2.020486098514244,5.0
27,True,7.4845716441708285,1.3562206472540523,5.0
28,True,4.967338350834285,1.2049373086685715,5.0
29,True,10.70324165334356,3.0544421509587396,5.0
30,True,9.354819944711199,1.3930413923677651,5.0
31,True,9.300864697552607,2.0015001300397612,5.0
32,True,8.86489321178992,1.4597062421078537,5.0
33,True,5.224395519413564,1.1750505912255393,5.0
34,True,9.310443775496223,1.5896909747774102,5.0
35,True,8.07929097504566,1.304884253431328,5.0
36,True,7.0559359896494245,1.2567597317450576,5.0
37,True,7.620165057253389,1.0091250150778857,5.0
38,True,9.24474631675738,1.3381064981125486,5.0
39,True,7.362976044438258,1.2301920403443167,5.0
40,True,6.164569209086552,1.0045915475819733,5.0
41,True,9.066604176140803,1.3038250539026448,5.0
42,True,8.897028203887658,1.499413015010923,5.0
43,True,8.584885257029049,1.3714854138798953,5.0
44,True,7.8458810641906895,1.0038176931008989,5.0
45,True,9.893288306013106,1.2285610581114084,5.0
46,True,6.886049273289791,1.0506518970823688,5.0
47,True,6.882111166759696,1.0596294355237321,5.0
48,True,7.271777122059388,1.018932548311345,5.0
49,True,8.714613993825417,1.7793737481355822,5.0
50,True,6.927897810652633,1.2736443070819505,5.0
51,True,7.212399577842934,1.0871155259927345,5.0
52,True,8.314678861675201,1.8350212232917427,5.0
53,True,7.562098381146985,1.2491494569197026,5.0
54,True,6.417425477677535,1.2164185410009127,5.0
55,True,7.9117397864215,1.279127661756192,5.0
56,True,7.446061055611517,1.0421436738115886,5.0
57,True,10.90293081855983,3.11792975566081,5.0
58,True,8.002331839335563,1.1639404806513116,5.0
59,True,8.533824556418004,1.2281707909790762,5.0
60,True,9.915922904742885,1.5654664228494533,5.0
61,True,5.74418583841616,1.0541931680389283,5.0
62,True,7.35528128694782,1.6678185137835861,5.0
63,True,7.716778564671113,1.2115208279685319,5.0
64,True,7.814669839460861,1.5325798820450003,5.0
65,True,7.317101597838132,1.1368160995102354,5.0
66,True,6.5469420209328995,1.418192880598763,5.0
67,True,8.3776699281923,1.133608965268058,5.0
68,True,7.507722761950226,1.2132813296689007,5.0
69,True,4.986462670304173,1.1667277067288104,5.0
70,True,5.8067458482981085,1.061557446876139,5.0
71,True,7.738084078041515,1.5369899882638336,5.0
72,True,8.05143139565771,1.0843995539589404,5.0
73,True,5.880783470479218,1.1807360433675755,5.0
74,True,6.99625915845827,1.4098327394198995,5.0
75,True,6.202401332860502,1.0249490930986576,5.0
76,True,7.850092527663332,1.1680846967714191,5.0
77,True,7.429731974514892,1.2269200786247767,5.0
78,True,6.710944811058228,1.0928777754003327,5.0
79,True,7.9826481364780655,1.1779260328238847,5.0
80,True,5.984611242897467,1.3149469129497313,5.0
81,True,7.196052081411105,1.3109594538102751,5.0
82,True,5.437848812080944,1.0854531627387354,5.0
83,True,7.411432085937286,1.1718087263501888,5.0
84,True,6.589215465338713,1.3707441667107294,5.0
85,True,8.877659656064125,1.6864171363438238,5.0
86,True,6.02218726544115,1.112536154624713,5.0
87,True,7.087256609493489,1.2678985866684807,5.0
88,True,8.265052063844912,2.482535461889785,5.0
89,True,7.084685394578095,1.0852052301826003,5.0
90,True,7.734231299440421,1.007820335814219,5.0
91,True,9.713961019308337,2.7952243506390206,5.0
92,True,6.497870117959124,1.4942530232109728,5.0
93,True,4.952338033839879,1.1798698048834015,5.0
94,True,10.762131788798133,4.663544091084481,5.0
95,True,11.013929581532647,1.9760111407976937,5.0
96,True,15.085196418855245,4.53610135121389,5.0
97,True,7.8361774726393145,1.1088400798939324,5.0
98,True,4.660983824619441,1.016666456111023,5.0
99,True,7.663388319158477,1.318901313842668,5.0
100,True,5.648686376568091,1.0047856056731819,5.0
101,True,7.458023676522076,1.05753275857255,5.0
102,True,7.4223669260190945,1.0062044884232038,5.0
103,True,4.40727522835796,1.0690470162341252,5.0
104,True,8.183240614072254,1.0156648028173323,5.0
105,True,7.32876871665703,1.32059699202529,5.0
106,True,7.9749492878472665,1.1146707805380183,5.0
107,True,6.358603177238671,1.04378899181248,5.0
108,True,7.216040844756867,1.7239484291198663,5.0
109,True,8.910614846650036,1.7648561577165995,5.0
110,True,7.0323798957842,1.2170413456175324,5.0
111,True,5.029626394166501,1.1124215431521631,5.0
112,True,7.215589973592154,1.0262471172982246,5.0
113,False,4.664451431826819,0.9999999726455655,5.0
114,True,9.410919251767343,1.7704419849511974,5.0
115,True,7.753505604854227,1.1031826931644917,5.0
116,True,7.326856111601094,1.0964555287238016,5.0
117,True,7.19621240086992,1.180848059324533,5.0
118,True,10.974281665700039,2.0190783570393465,5.0
119,True,7.349245939307358,1.3759971577344665,5.0
120,True,5.782121926208606,1.0585441511343734,5.0
121,True,9.196065967223518,1.8699332665732804,5.0
122,True,7.191903377791196,1.0014217534325232,5.0
123,True,9.105374509483996,1.8569283883259913,5.0
124,True,7.586554887186503,1.0964292188434674,5.0
125,True,4.480956471302927,1.1939356850407188,5.0
126,True,5.735979004376684,1.019036397687366,5.0
127,True,7.127983527547705,1.1244341533972992,5.0
128,True,7.259780228247109,1.0570965985947594,5.0
129,True,7.790746814174393,1.3324376909859699,5.0
130,True,9.30861610479634,1.1779209362125587,5.0
131,True,9.345702793185774,1.488571864632463,5.0
132,True,5.947762240509406,1.074966325348356,5.0
133,True,9.88798100509116,2.643894212666372,5.0
134,True,7.195496063370956,1.2971988764660711,5.0
135,True,8.73740353462123,1.015393913618494,5.0
136,True,7.860647917115239,1.2531763906851332,5.0
137,True,6.150195706667329,1.2122491785136897,5.0
138,True,4.677228832928657,1.0416910185670216,5.0
139,True,7.724939641019284,1.3422713432031055,5.0
140,True,7.690437972854125,1.2521737788299807,5.0
141,True,8.457795104158228,1.0003570167238895,5.0
142,True,10.503388117865088,2.256809627203758,5.0
143,True,4.790758688995266,1.1984221214426871,5.0
144,True,7.804578328430389,1.0464415146728048,5.0
145,True,6.913117382356996,1.2232759322800741,5.0
146,True,6.017249187737161,1.2029464443053646,5.0
147,True,6.594178401241296,1.0228393560271416,5.0
148,True,4.894940873635365,1.1712614456736423,5.0
149,True,8.590226763149404,1.109626256709482,5.0
150,True,7.083349425335071,1.0259941236618149,5.0
151,True,12.72513323499442,2.5002364959744616,5.0
152,True,7.722659937905519,1.2266146720674396,5.0
153,True,9.878363970937244,1.593181303195553,5.0
154,True,7.68346026960935,1.4362449580198247,5.0
155,True,7.745188633149519,1.1349764493075742,5.0
156,True,7.513081595292074,1.0056058838672666,5.0
157,True,8.161564643516067,1.4889524659250433,5.0
158,True,7.955640698632851,1.1022940882295513,5.0
159,True,7.798964073046095,1.3173179756269409,5.0
160,True,8.462703712603618,3.296011208466469,5.0
161,True,9.282229625667897,1.5793605105345705,5.0
162,True,8.174263274324819,1.041795427138785,5.0
163,True,9.637663391727255,1.4901304651265863,5.0
164,True,7.65982825553509,1.0341989421785192,5.0
165,True,9.656551073708789,1.5313768376726873,5.0
166,True,7.1639797955439715,1.0009372397629746,5.0
167,True,8.053406468966616,1.2550590469046183,5.0
168,True,7.473777353510377,1.0508199084568428,5.0
169,True,7.922297961649429,1.0044842555386377,5.0
170,True,5.54508394682163,1.1290332481812477,5.0
171,True,7.4113315658779895,1.114440285265948,5.0
172,True,7.227481306168818,1.2368241267642628,5.0
173,True,8.566215765156812,1.111441831345464,5.0
174,True,4.9848978681574225,1.4473458312270553,5.0
175,True,9.766934193717315,1.6982337535333774,5.0
176,True,6.974974607461581,1.153722255797235,5.0
177,True,7.956724931867211,1.132013711655875,5.0
178,True,8.309004403909203,1.5028910843503833,5.0
179,True,6.91488024195883,1.2395706213205593,5.0
180,True,6.590485201495959,1.241491737906792,5.0
181,True,5.972532357017395,1.5129213179663341,5.0
182,True,8.695318441030716,1.4861261416081546,5.0
