id,success,corridor_width,trajectory_efficiency,init_distance
0,True,9.048071191352829,1.0007642172262026,5.0
1,True,7.172444742991085,1.2307595205422763,5.0
2,True,7.516313016474305,1.0331748432864638,5.0
3,True,15.627409129605804,3.8121177310997063,5.0
4,True,7.351805405250343,1.0189779754529644,5.0
5,True,7.624461338558906,1.2814946778853649,5.0
6,True,6.520946691532663,1.0164654936374664,5.0
7,True,7.958899738249466,1.4852535517949588,5.0
8,True,7.408046612024929,2.0252055769158472,5.0
9,True,7.023238698327581,1.2186856651156202,5.0
10,True,10.808353186686828,1.9250709129372385,5.0
11,True,8.508446672484933,1.1951810909537488,5.0
12,True,6.9387438609374446,1.0864679834151398,5.0
13,True,6.989772366668736,1.1741192033585741,5.0
14,True,5.912027462298436,1.0641843097440093,5.0
15,True,6.865001547448276,1.300160594335061,5.0
16,True,7.227069844335712,1.1760856087357872,5.0
17,True,6.1003237748809624,1.4301061715969803,5.0
18,True,7.549652146347225,1.2602204881362784,5.0
19,True,7.656173660456257,1.0870845112091752,5.0
20,True,5.607965206333392,1.185870957655217,5.0
21,True,10.658387101921388,3.7230546341251984,5.0
22,True,12.792066382055582,3.432461290536125,5.0
23,True,5.933808367030281,1.4426083207565878,5.0
24,True,5.475723376718703,1.062319161289661,5.0
25,True,7.201463565129234,1.075934330747346,5.0
26,True,6.6143898294471,1.2031561736610024,5.0
27,True,6.367286144487298,1.1768357084380172,5.0
28,True,6.723046417912338,1.3557096152664103,5.0
29,True,6.273333025968168,1.4646425827273375,5.0
30,True,5.289940245746584,1.011312201327267,5.0
31,True,7.3068529151233275,1.0120513581422388,5.0
32,True,5.4282141018115055,1.2535478636113022,5.0
33,True,8.216721080151864,1.7543834961305675,5.0
34,True,4.608249997093663,1.2285147595336987,5.0
35,True,14.32154224972937,3.499863616771001,5.0
36,True,7.508419239233243,1.2786304527576995,5.0
37,True,7.6344966507589485,1.1570614819728295,5.0
38,True,5.898069084572126,1.0453750672617912,5.0
39,True,6.8580396754026705,1.2936264408200604,5.0
