id,success,corridor_width,trajectory_efficiency,init_distance
0,True,6.30311719683159,2.1562269302961328,5.0
1,True,5.95730711971957,1.009404375518857,5.0
2,True,4.532620074198997,1.0637210288891479,5.0
3,True,4.937620434277804,1.0010901031182273,5.0
4,True,5.215199280959496,1.020578610450664,5.0
5,True,5.267631754049217,1.136658321495095,5.0
6,True,4.387242153001717,1.098545180124378,5.0
7,True,4.934933441029422,1.3310113454741672,5.0
8,True,6.288665935086449,1.6230929876808975,5.0
9,True,4.43885748965622,1.2278261227672271,5.0
10,True,4.499408455237102,1.0756414098263505,5.0
11,True,5.732398345151282,1.8391724976380235,5.0
12,True,5.914693349902518,1.2212952115256532,5.0
13,True,4.99453496006122,1.2123430160607402,5.0
14,True,4.642846399247719,1.0860231809485783,5.0
15,True,4.794715127002454,1.1499361865766897,5.0
16,True,4.799851944155084,1.3464021621600197,5.0
17,True,5.27213930220023,1.1725278997449673,5.0
18,True,9.2175409503805,3.2167550987367632,5.0
19,True,4.571301618552904,1.0096568655829514,5.0
20,True,5.287636238281993,1.0573681205734646,5.0
21,True,5.744760157869564,1.5795790732771167,5.0
22,True,5.847074936841231,1.3238957440285404,5.0
23,True,7.732025378820298,2.6914275054783006,5.0
24,True,5.8376575001912805,1.1439145508053687,5.0
25,True,4.984865387969694,1.4913572543256293,5.0
26,True,6.918011833757207,1.6789269939841944,5.0
27,True,5.271609626525605,1.2413646341253692,5.0
28,True,5.524243675759498,1.123939564077378,5.0
29,True,5.103900770155074,1.193975878595669,5.0
30,True,4.3126467863472655,1.0046515277925,5.0
31,True,5.471574800042435,1.366799609069058,5.0
32,True,4.702864014268653,1.235509319415357,5.0
33,True,6.20109619151894,1.260186121391112,5.0
34,True,4.47127766929043,1.2831343926571632,5.0
35,True,6.989491845854591,1.8553862084180182,5.0
36,True,4.8174754563620805,1.2250633023435065,5.0
37,True,4.6030762190642465,1.1726574733037851,5.0
38,True,5.125061511539388,1.1321171490239712,5.0
39,True,4.512758537521168,1.2209658112112765,5.0
40,True,5.879787287534009,2.237177651978124,5.0
41,True,4.420424825036025,1.0419237819920584,5.0
42,True,4.514282951827044,1.1191257882068746,5.0
43,True,5.32784513624938,1.1360293752143575,5.0
44,True,4.532728315182226,1.0012380793885358,5.0
45,True,4.543300408220581,1.140245571135031,5.0
46,True,4.909234339031418,1.087401870892654,5.0
47,True,5.343731828668201,1.1761400552200196,5.0
48,True,4.836333937805166,1.1751727473815847,5.0
49,True,6.8827400273730746,1.404666455276939,5.0
50,True,5.512871932862618,1.2400857436703105,5.0
51,True,5.829039063215448,1.068928571247164,5.0
52,True,7.829956810057593,2.0059095442749526,5.0
53,True,6.095274168098857,1.6657302442820152,5.0
54,True,4.931816846323565,1.0122207631328712,5.0
55,True,7.726857771502839,1.8350697271227923,5.0
56,True,5.52921745103522,1.059309324367896,5.0
57,True,7.7980030357395975,2.2047255449313843,5.0
58,True,5.439746413381405,1.025424236943009,5.0
59,True,4.727650712824737,1.1915439207420313,5.0
60,True,7.209124473467819,1.6214893492674063,5.0
61,True,6.7158337102970105,7.653510653430658,5.0
62,True,5.092628491999494,1.269053702022105,5.0
63,True,4.4924627742770324,1.3156501170607366,5.0
64,True,5.02762371873149,1.0008547098680676,5.0
65,True,4.092988639129607,1.0019084925732573,5.0
66,True,5.030511766098096,1.2843032999177346,5.0
67,True,6.540118959323788,2.8170962666532864,5.0
68,True,4.558797911886359,1.1468380489958754,5.0
69,True,5.690997270887161,1.1305483416505822,5.0
70,True,4.976849763118156,1.3789390633960341,5.0
71,True,7.210880107346334,1.3190036850139921,5.0
72,True,4.495762823089899,1.1255034328286686,5.0
73,True,4.582296313477855,1.1451249695947434,5.0
74,True,4.3129255443491274,1.0196224400555263,5.0
75,True,6.940601638069848,1.40960568278714,5.0
76,True,4.777099913853658,1.1722607091244408,5.0
77,True,4.515924412584453,1.1283949175520283,5.0
78,True,4.706725906149966,1.3085308822139667,5.0
79,True,5.304598062022504,1.2246454260726747,5.0
80,True,5.272267751138004,1.2572693705712714,5.0
81,True,5.6182437143201245,1.1127158069212646,5.0
82,True,6.386653195131954,1.2795666713950289,5.0
83,True,8.106618560710922,1.8053911210004427,5.0
84,True,6.872820152868687,2.55743765925138,5.0
85,True,7.5870931744088015,1.7599309079725811,5.0
86,True,5.99011804694428,1.2094404186708647,5.0
87,True,6.7794117596444154,2.5263142640431293,5.0
88,True,6.959937040331908,2.6709643849896874,5.0
89,True,5.908854166594392,1.0737885777635574,5.0
90,True,5.280995556431298,1.1074171400442694,5.0
91,True,6.949444609907218,1.4901912979273062,5.0
92,True,7.457274095979308,1.7973944672219633,5.0
93,True,4.551507180672451,1.1418585001445172,5.0
94,True,7.796574108038476,2.3213087836862276,5.0
95,True,6.043487810181225,1.2563864666792328,5.0
96,True,7.528677066002274,2.057824552128053,5.0
97,True,5.371720403359987,1.328205679902209,5.0
98,True,8.868826636564725,3.4887869118988633,5.0
99,True,7.235973186702585,1.7192239529890583,5.0
100,True,4.550504961360014,1.097340401406017,5.0
101,True,6.964174169282751,1.8367666278247692,5.0
102,True,4.205540959898037,1.2756145883326746,5.0
103,True,7.323365490644937,1.957220197449914,5.0
104,True,6.651193528263303,2.600051601843724,5.0
105,True,4.709324644370936,1.2149748298646246,5.0
106,True,4.543752785712968,1.4241172812154466,5.0
107,True,6.7472823786039955,2.137801847262073,5.0
108,True,5.087666144676769,1.326280219507569,5.0
109,True,5.8725256590470964,1.1846066290883734,5.0
110,True,6.6797681340667125,1.599846515335362,5.0
111,True,5.038021031274553,1.2264974147727603,5.0
112,True,5.8881175254444065,1.117714374430689,5.0
113,True,4.4395504166870525,1.1885631245875181,5.0
114,True,5.058099198539821,1.25668609669228,5.0
115,True,4.839886087434898,1.318811341976027,5.0
116,True,4.885229651962618,1.0448329758642185,5.0
117,True,6.024318574967742,1.2741045041795303,5.0
118,True,5.563534580062257,1.0861499132400045,5.0
119,True,6.674152376075654,1.7601864031728323,5.0
120,True,4.976100224074452,1.4090478344916528,5.0
121,True,4.4769749433013635,1.0985131810814528,5.0
122,True,5.897206295928207,1.102008388769546,5.0
123,True,5.3423979637009325,1.1125137264085647,5.0
124,True,4.736930948658847,1.1977436551321075,5.0
125,True,6.533150021382608,5.52381548542427,5.0
126,True,5.192787244147257,1.012758885534894,5.0
127,True,5.770908150811394,1.9284670321780124,5.0
128,True,6.569680208547652,2.264204093988512,5.0
129,True,6.989278296531848,3.6128127164030643,5.0
130,True,4.620818074466785,1.0058560042049587,5.0
131,True,4.961836543044891,1.0385921361704358,5.0
132,True,5.18972545592842,1.0628323309737149,5.0
133,True,5.2676921271595765,1.2329398511949654,5.0
134,True,4.350719192797963,1.0043735747712366,5.0
135,True,4.370355046169425,1.0281303727405438,5.0
136,True,7.2826628892956204,1.5130458270851321,5.0
137,True,4.9254086880917765,1.0175465229161422,5.0
138,True,6.60622814529566,3.022175542292479,5.0
139,True,5.544043304188494,1.0962073107515955,5.0
140,True,6.588398796948033,6.315834207322933,5.0
141,True,5.918942652369041,1.6235783873000285,5.0
142,True,6.86871720008603,1.7399728992483692,5.0
143,True,5.992213183702551,1.1796604147320666,5.0
144,True,5.161371019038456,1.231378734253839,5.0
145,True,5.139122782014095,1.0138311201737076,5.0
146,True,4.488863213339573,1.2974875874988678,5.0
147,True,4.256430083226887,1.269032956032608,5.0
148,True,5.035151488446444,1.0224766073374274,5.0
149,True,5.028173209939996,1.0815894902662688,5.0
