id,success,corridor_width,trajectory_efficiency,init_distance
0,True,4.873982152629014,1.096251673164977,5.0
1,False,43.14135739878694,2.9413599032046274,5.0
2,True,6.3106186987628465,2.617675196432105,5.0
3,True,9.620455963223552,2.8770849897709283,5.0
4,True,4.361385183713639,1.1102288014981136,5.0
5,False,9.90474116912485,2.5720843204568324,5.0
6,True,8.078950000410707,1.9574391910661377,5.0
7,True,7.9955893676617364,1.746995328948084,5.0
8,True,6.073787170291272,1.053778082522366,5.0
9,True,4.427909775199805,1.0702036050711772,5.0
10,True,4.619656192141042,1.0102320667160447,5.0
11,True,4.48031558921637,1.7591729481792036,5.0
12,False,8.908626012285406,1.3147735369390914,5.0
13,False,14.785753515222,2.30200209946163,5.0
14,True,7.356598372857843,1.578160132262095,5.0
15,True,4.480322816722222,1.0272140842037634,5.0
16,True,17.33376273214817,11.916050729329918,5.0
17,True,5.006099719659691,1.2676424270424713,5.0
18,True,8.969750938526062,4.144162294477305,5.0
19,True,5.257344455825882,1.1280847479710596,5.0
20,True,5.938386498740874,1.9102860327872397,5.0
21,True,4.939851103692291,1.1241164344618906,5.0
22,True,4.550282142127071,1.1842870094565825,5.0
23,True,4.209511558448139,1.3795207262615976,5.0
24,True,7.33717365582128,1.8112254825789946,5.0
25,False,6.729561858495401,1.4944246503896572,5.0
26,True,4.6762409004492005,1.0728109071123346,5.0
27,True,4.315016847149377,1.2759620340382225,5.0
28,True,4.704235354379489,1.1248855597024832,5.0
29,True,4.8586587319040575,1.6501388790034797,5.0
30,False,4.620960070027263,3.972152678895944,5.0
31,True,10.334372465686657,6.7610709439435395,5.0
32,True,8.558626782337756,2.4414954850616346,5.0
33,True,10.79065414909745,5.722593212494955,5.0
34,True,4.17241115088069,1.0115484623085154,5.0
35,True,9.307161489472492,1.9938572483755224,5.0
36,True,8.214968658345793,1.6785921708971696,5.0
37,True,4.678086625443517,1.1843362668639987,5.0
38,True,4.632439812611483,1.0806565402237154,5.0
39,True,6.042162538822344,1.396279388436999,5.0
40,True,11.211781562696899,5.058360715208713,5.0
41,True,5.327495354422675,1.1931659398569245,5.0
42,True,5.435853743456958,1.0368873788752653,5.0
43,False,16.99459450688336,16.475380701593114,5.0
44,False,4.222034435131354,1.0006101225042325,5.0
45,True,5.4064604749294904,1.001890097841688,5.0
46,True,7.01026631774148,1.3927416875842533,5.0
47,True,5.114781833946472,1.2350862538033751,5.0
48,True,4.570055902774311,1.0145079027062245,5.0
49,True,9.831981990940008,4.610027894631084,5.0
50,True,8.404523157552202,6.9064501152491875,5.0
51,True,5.587122744616648,1.235715670823883,5.0
52,True,4.190028620264738,1.0059195956602403,5.0
53,True,6.107045723653794,1.2474990244911255,5.0
54,True,5.55768807696483,1.0705556449419689,5.0
55,True,5.038302340383696,2.405496823711745,5.0
56,True,5.432070456265072,1.0688172029263958,5.0
57,True,5.0252834679500005,1.01386971541439,5.0
58,True,7.518513737142155,1.7677433047736701,5.0
59,False,4.8972513615182836,1.2114555081337457,5.0
60,True,6.386197689482287,1.2465679526670939,5.0
61,True,4.252721670579536,1.211574592407574,5.0
62,True,4.829332682535033,1.2159428358209552,5.0
63,True,4.251177210260357,1.3410236222443637,5.0
64,False,20.28090538783993,1.5796645758022578,5.0
65,True,9.15348140516944,5.87978066834773,5.0
66,True,7.672476565225445,2.7221591630465007,5.0
67,True,6.827376195347568,1.9429519025514386,5.0
68,True,8.555000111358076,6.569419519050882,5.0
69,True,4.953369924074286,1.0143572539146113,5.0
70,False,19.298072174183957,1.2948690382104213,5.0
71,False,4.671107447533511,1.0001950426261241,5.0
72,True,6.687511893720918,1.4773953865173308,5.0
73,True,13.67441537794075,6.108993126097234,5.0
74,True,9.060665960270569,7.0642282633873785,5.0
75,True,5.135208265160155,1.2372831291987354,5.0
76,True,4.787614315548174,1.2187470703269054,5.0
77,True,4.847289441373323,1.041813418588418,5.0
78,True,7.9001312521621,1.515364863700823,5.0
79,True,11.49594217808044,3.755196463598137,5.0
80,True,4.839611619501994,1.1209643491451464,5.0
81,True,4.322494164162163,1.2347379467100819,5.0
82,False,4.594133302933786,1.0000000849055009,5.0
83,True,5.0227146806228244,1.0087487185525086,5.0
84,True,5.423031142289647,1.0821196479743218,5.0
85,True,5.884782023937224,3.8479103609529095,5.0
86,True,10.610885599006632,6.218513833587078,5.0
87,True,5.118689126212121,1.0353711303181679,5.0
88,True,5.261219519618095,1.3542567498878713,5.0
89,True,5.50914007364936,1.2010483616495422,5.0
90,True,4.506153249241093,1.1246603031425177,5.0
91,True,9.886996960047398,4.718800297572119,5.0
92,True,9.150831512536234,3.7857981599943535,5.0
93,True,6.288424168411439,1.1193425443004796,5.0
94,True,9.113309916050639,14.586161667072867,5.0
95,True,6.1068852079006515,1.1261518955347949,5.0
96,True,7.45594106240621,3.499230592781249,5.0
97,True,9.664294021277378,16.204565317950788,5.0
98,True,4.5928126223071475,1.1170703056417952,5.0
99,True,5.028971146175718,1.4597917253146067,5.0
100,True,4.900152282248717,1.1589951080086087,5.0
101,True,8.22489412890149,2.724199261367124,5.0
102,True,5.546066807604802,1.100832582468452,5.0
103,True,5.769618289401873,1.4837540854386992,5.0
104,True,6.107894028641947,1.9472988338404578,5.0
105,True,4.834494737681084,1.1161457474479437,5.0
106,True,6.288906870844511,2.9955861692381522,5.0
107,True,5.141057852677477,1.246616369989473,5.0
